0.0	2.0	2.0
1.0	2.34726	2.119
2.5	3.58922	2.496
5.0	6.13266	3.121
7.5	8.81461	3.662
10.0	11.5406	4.138
12.5	14.2868	4.567
15.0	17.0442	4.959
17.5	19.8085	5.324
